/home/rgundaka/miniconda3/envs/CPINO/lib/python3.10/site-packages/torch/functional.py:568: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at  ../aten/src/ATen/native/TensorShape.cpp:2228.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
wandb: Currently logged in as: rishigundakaram. Use `wandb login --relogin` to force relogin
loading data
data is loaded
using device: cuda:0
wandb: wandb version 0.12.19 is available!  To upgrade, please run:
wandb:  $ pip install wandb --upgrade
wandb: Tracking run with wandb version 0.12.18
wandb: Run data is saved locally in /central/groups/tensorlab/rgundaka/code/CPINO/experiments/wave1D_PINO/wandb/run-20220627_220959-39v0emb5
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run prime-dragon-13
wandb: ⭐️ View project at https://wandb.ai/rishigundakaram/CPINO-wave1D
wandb: 🚀 View run at https://wandb.ai/rishigundakaram/CPINO-wave1D/runs/39v0emb5

  0% 0/500 [00:00<?, ?it/s]
L2 data loss: 0.00616 L2 ic loss: 0.00067 L2 f loss: 0.03090 loss: 0.09588 :  12% 61/500 [01:49<13:03,  1.79s/it]
L2 data loss: 0.00616 L2 ic loss: 0.00067 L2 f loss: 0.03111 loss: 0.09605 :  12% 61/500 [01:51<13:03,  1.79s/it]
L2 data loss: 0.00616 L2 ic loss: 0.00067 L2 f loss: 0.03111 loss: 0.09605 :  12% 62/500 [01:51<13:01,  1.79s/it]
L2 data loss: 0.00616 L2 ic loss: 0.00067 L2 f loss: 0.03573 loss: 0.10074 :  12% 62/500 [01:53<13:01,  1.79s/it]
L2 data loss: 0.00616 L2 ic loss: 0.00067 L2 f loss: 0.03573 loss: 0.10074 :  13% 63/500 [01:53<13:00,  1.79s/it]
L2 data loss: 0.00615 L2 ic loss: 0.00067 L2 f loss: 0.03137 loss: 0.09624 :  13% 63/500 [01:54<13:00,  1.79s/it]
L2 data loss: 0.00615 L2 ic loss: 0.00067 L2 f loss: 0.03137 loss: 0.09624 :  13% 64/500 [01:54<12:57,  1.78s/it]
L2 data loss: 0.00614 L2 ic loss: 0.00067 L2 f loss: 0.03064 loss: 0.09536 :  13% 64/500 [01:56<12:57,  1.78s/it]
L2 data loss: 0.00614 L2 ic loss: 0.00067 L2 f loss: 0.03064 loss: 0.09536 :  13% 65/500 [01:56<12:56,  1.78s/it]
L2 data loss: 0.00614 L2 ic loss: 0.00067 L2 f loss: 0.03562 loss: 0.10034 :  13% 65/500 [01:58<12:56,  1.78s/it]
L2 data loss: 0.00614 L2 ic loss: 0.00067 L2 f loss: 0.03562 loss: 0.10034 :  13% 66/500 [01:58<12:54,  1.78s/it]
L2 data loss: 0.00617 L2 ic loss: 0.00067 L2 f loss: 0.04433 loss: 0.10937 :  13% 66/500 [02:00<12:54,  1.78s/it]
